GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chargeAccountRule,com.finobank.pta.taxescalculator,TaxCalculatorUnit,0,13,0,0,0,5,0,3,0,3
chargeAccountRule,com.finobank.pta.taxescalculator,TaxCalculationResponse,16,139,1,7,6,34,4,16,3,13
chargeAccountRule,com.finobank.pta.taxescalculator,TaxCalculationRequest,4,77,0,0,2,27,1,16,1,16
chargeAccountRule,com.finobank.pta.taxescalculator,MyAgendaEventListener,0,19,0,0,0,6,0,3,0,3
chargeAccountRule,org.kie.kogito.app,HotReloadSupportClass,0,3,0,0,0,1,0,1,0,1
